province;red;green;blue;x;x
1;155;95;20;LAND1;x
2;225;145;15;LAND2;x
3;185;40;40;LAND3;x
4;160;140;10;LAND4;x
5;230;50;20;LAND5;x
6;170;55;60;LAND6;x
7;250;50;0;LAND7;x
8;180;120;30;LAND8;x
9;150;105;25;LAND9;x
10;225;145;40;LAND10;x
11;185;125;70;LAND11;x
12;190;130;80;LAND12;x
13;170;130;10;LAND13;x
14;190;0;60;LAND14;x
15;230;50;60;LAND15;x
16;200;35;90;LAND16;x
17;250;130;60;LAND17;x
18;150;110;85;LAND18;x
19;180;10;70;LAND19;x
20;230;115;45;LAND20;x
21;200;45;30;LAND21;x
22;155;15;55;LAND22;x
23;190;45;40;LAND23;x
24;230;20;10;LAND24;x
25;215;0;20;LAND25;x
26;160;10;0;LAND26;x
27;245;10;10;LAND27;x
28;160;25;30;LAND28;x
29;150;135;85;LAND29;x
30;180;100;5;LAND30;x
31;180;65;85;LAND31;x
32;165;70;10;LAND32;x
33;160;130;5;LAND33;x
34;230;75;40;LAND34;x
35;150;55;35;LAND35;x
36;225;30;20;LAND36;x
37;235;80;85;LAND37;x
38;250;140;65;LAND38;x
39;250;75;75;LAND39;x
40;185;45;70;LAND40;x
41;230;40;65;LAND41;x
42;215;45;15;LAND42;x
43;175;135;20;LAND43;x
44;195;55;25;LAND44;x
45;200;45;85;LAND45;x
46;200;35;20;LAND46;x
47;245;35;40;LAND47;x
48;250;145;15;LAND48;x
49;65;115;200;SEA49;x
50;0;210;235;SEA50;x
51;15;150;225;SEA51;x
52;55;195;175;SEA52;x
53;15;85;150;SEA53;x
54;55;80;210;SEA54;x
55;90;245;200;SEA55;x
56;45;110;235;SEA56;x
57;10;95;235;SEA57;x
58;50;125;235;SEA58;x
59;0;95;160;SEA59;x
60;95;155;155;SEA60;x
61;10;140;245;SEA61;x
62;25;125;170;SEA62;x
63;65;180;150;SEA63;x
64;10;185;210;SEA64;x
